f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username
836;70;Nosu;19;admin;282240
837;71;Makale;19;admin;282240
838;72;Tagari;19;admin;282240
839;28;Langsa;6;debrina;288632
840;73;Salaka;19;admin;282240
841;47;Bukit Kemuning;12;admin;282240
842;64;Argamakmur;2;admin;282240
843;83;Huta Tongah;7;wasim;282240
844;39;Langowan;17;admin;282240
845;48;Sanggaran;12;admin;282240
846;49;Bandar Agung;12;admin;282240
847;3;Ruteng;23;admin;282240
848;84;Laguboti;7;admin;282240
849;59;Pardasuka;8;admin;282240
850;65;Kampiri;2;admin;282240
851;85;Batuhoda;7;wasim;282240
852;86;Parapat;7;wasim;282240
853;41;Gumbrih;22;wasim;282240
854;87;Silamosik;7;wasim;282240
855;60;Sungai Tunu;8;wasim;282240
856;70;Purwodadi;3;wasim;282240
857;37;Parigi;18;ISTN-PC;183309
858;38;Mebali;18;wasim;282240
859;39;Nanggala;18;wasim;282240
860;50;Banding Agung;12;wasim;282240
861;44;Tanjung Karang;9;wasim;282240
862;43;Suai;27;BAAKISTN-PC;2151322
863;63;Ketiau;11;wasim;282240
864;61;Kumpulan;8;wasim;282240
865;36;Weetebula;21;wasim;282240
866;66;Pancoran Mas Depok;2;wasim;282240
867;88;Bandar Negeri;7;wasim;282240
868;89;Berastagi;7;wasim;282240
869;90;Sihepeng;7;wasim;282240
870;62;Koto Mambang;8;wasim;282240
871;67;Bandungan;2;wasim;282240
872;64;Sungai Lasi;11;wasim;282240
873;29;Takengon Aceh Tengah;6;debrina;288632
874;16;Karang Waru;33;wasim;282240
875;71;bumiayu;3;wasim;282240
876;72;Weru;3;wasim;282240
877;74;Masohi;19;wasim;282240
878;75;Serui;19;wasim;282240
879;76;Saluallo;19;wasim;282240
880;77;Pattallassang;19;wasim;282240
881;40;Amosilu;17;wasim;282240
882;58;Arahan;2;wasim;282240
883;68;Nibung;2;wasim;282240
884;46;Maulafa;24;wasim;282240
885;47;Kalabahi;24;wasim;282240
886;45;Balai Karimun;9;wasim;282240
887;69;Batahan;2;wasim;282240
888;46;Tg. Balai Karimun;9;wasim;282240
889;91;Pangaloan;7;wasim;282240
890;40;Kambiolangi;18;wasim;282240
891;41;Takalala;18;wasim;282240
892;42;Munte;18;wasim;282240
893;43;Panasea;18;wasim;282240
894;44;Baraka;18;wasim;282240
895;73;Kroya;3;wasim;282240
896;34;Ulu Danau;26;wasim;282240
897;51;Lebuai;12;mansyur;183309
898;37;Larat;21;mansyur;183309
899;70;Panggarangan;2;mansyur;183309
900;6;Biak;37;istn-54f2cb5db4;288632
901;17;Sabulan;33;wasim;282240
902;18;Serbelawan;33;wasim;282240
903;19;Koba;33;wasim;282240
904;71;Matangglumpangdua;2;wasim;282240
905;72;Bunturaja;2;wasim;282240
906;78;Pasanea;19;wasim;282240
907;73;Babakan;2;mansyur;183309
908;62;Sumberejo;5;wasim;282240
909;92;Sirait Holbung;7;wasim;282240
910;74;Panggarangan Lebak;2;wasim;282240
911;37;Lubuklinggau;13;DATAFTI-PC;282240
912;75;Panawangan;2;DATAFTI-PC;282240
913;93;Bangun Pane;7;DATAFTI-PC;282240
914;74;Kapul;3;DATAFTI-PC;282240
915;94;Pardomuan Motung;7;DATAFTI-PC;282240
916;63;Gunung Medan;8;sujatmo;183309
917;38;Tebas;13;sujatmo;183309
918;39;Ujung Said;13;sujatmo;183309
919;30;Jambur Lak-Lak;6;debrina;288632
920;65;Paldas;11;sujatmo;183309
921;76;Cikajang;2;sujatmo;183309
922;40;Murung Pudak;15;sujatmo;183309
923;45;Kolonodale;18;sujatmo;183309
924;41;Ondong;17;sujatmo;183309
925;95;Pasarmelintang;7;DATAFTI-PC;282240
926;52;Menggala;12;lili-PC;183309
927;54;Jatimulyo;12;istn-54f2cb5db4;288632
928;731;Kole Malimbong;19;lili-PC;183309
929;1;Tanjung Batu Majene;38;debrina;288632
930;36;Palambua;20;lili-PC;183309
931;79;Kole Malimbong;19;lili-PC;183309
932;55;Menggala;12;istn-54f2cb5db4;288632
933;66;Pangkalpinang;11;Yunus-PC;183309
934;4;Pendopo;26;ringgo;183309
935;8;Durian Rampak;6;ringgo;183309
936;96;Nagori;7;ringgo;183309
937;97;Marpaung Bagasan;7;ringgo;183309
938;75;Bumi Harjo;3;DATAFTI-PC;282240
939;20;Selanglet;33;sujatmo;183309
940;4;Kelapa Kampit;35;sujatmo;183309
941;67;Tangga Batu;11;lili-PC;183309
942;98;Tanggabatu;7;lili-PC;183309
943;99;Talun Kenas;7;lili-PC;183309
944;55;Gunung Katun;12;lili-PC;183309
945;47;Rengat;9;lili-PC;183309
946;80;Sengkang;19;lili-PC;183309
947;64;Barulak;8;lili-PC;183309
948;77;Bangodua;2;lili-PC;183309
949;40;Belitang;13;lili-PC;183309
950;68;Belitang;11;lili-PC;183309
951;48;Mbaumuku Ruteng;24;lili-PC;183309
952;36;Wates;4;lili-PC;183309
953;100;Sipitu Pitu;7;lili-PC;183309
954;41;Tanjungsari;15;lili-PC;183309
955;100;Madula;7;ISTN-PC;183309
956;101;Madula;7;ISTN-PC;183309
957;22;Tolongano;18;ISTN-PC;183309
958;69;Ulak Embacang;11;ISTN-PC;183309
959;70;Kota Agung  Aji;11;sujatmo;183309
960;56;Sendangrejo;12;ISTN-PC;183309
961;57;Bumi Sari;12;ISTN-PC;183309
962;59;Yukumjaya;12;ISTN-PC;183309
963;10;Ngrame Ngawii;5;ISTN-PC;183309
964;81;Lewobelen;19;sujatmo;183309
965;82;Madopolo;19;ISTN-PC;183309
966;83;Wukir;19;ISTN-PC;183309
967;84;Nata;19;ISTN-PC;183309
968;85;Dobo;19;ISTN-PC;183309
969;86;Tapalinna;19;ISTN-PC;183309
970;87;Wotu;19;ISTN-PC;183309
971;88;Wegok;19;ISTN-PC;183309
972;89;Pincara;19;ISTN-PC;183309
973;90;Lawo;19;ISTN-PC;183309
974;91;Sungguminasa;19;sujatmo;183309
975;92;Buttu;19;ISTN-PC;183309
976;63;Kotabatu;5;lili-PC;183309
977;78;Astanajapura;2;lili-PC;183309
978;71;Pagar Alam;11;istn;183309
979;21;Weoe;33;debrina;288632
980;22;Malaka;33;debrina;288632
981;100;Ujung Bandar;7;debrina;291820
982;100;Ujung Bandar;7;debrina;291820
983;43;Sampit;14;lili-PC;183309
984;40;Sapta Mulya;10;lili-PC;183309
985;48;Surau Gading;9;lili-PC;183309
986;7;Pulau Seribu;1;istn;288646
987;106;Tiga Dolok;7;lili-PC;183309
988;64;Temanggung;5;lili-PC;183309
989;79;Ciawigebang;2;istn;288646
990;44;Muara Teweh;14;istn;288646
991;100;Sidamanik;7;istn;288646
992;60;Bandar Sakti;12;istn;288646
993;1;Singapura;0;istn;288646
994;100;Tiga Panah;7;istn;288646
996;101;Tiga Panah;7;istn;288646
997;35;Tais;26;istn;288646
998;79;Lakbok;2;istn;288646
999;53;Bumi Agung;12;istn-54f2cb5db4;288632
1000;42;Tomohon;17;istn;288646
1001;43;Dumoga;17;istn;288646
1002;65;Campang Tiga;5;istn;288646
1003;39;Curup;23;istn;288646
1004;40;Banjaran;23;istn;288646
1005;41;Padangsidimpuan;23;istn;288646
1006;42;Cimanggis;15;istn;288646
1007;61;Bangunrejo;12;ISTN-PC;183309
1008;62;Batuliman Indah;12;ISTN-PC;183309
1009;63;Muara Putih;12;ISTN-PC;183309
1010;93;Elat;19;ISTN-PC;183309
1011;94;Manatahan;19;ISTN-PC;183309
1012;95;Malili;19;ISTN-PC;183309
1013;96;Tallang;19;ISTN-PC;183309
1014;97;Sadan;19;ISTN-PC;183309
1015;98;Desa Baru;19;ISTN-PC;183309
